WORD	DITRANSITIVE	PREP_DATIVE	PREFERENCE	LLR	PEARSONRESID	LOGODDSRATIO	MI	DELTAPC2W	DELTAPW2C
tell	128	2	DITRANSITIVE	148.034024906158	6.88473843234794	4.13695772273073	0.864913229790384	0.131154688565962	0.479134264030732
cost	20	1	DITRANSITIVE	18.2876517576888	2.56620411662007	2.85271343409514	0.81689171492744	0.019648325493837	0.416687063174784
teach	15	1	DITRANSITIVE	12.6173875243251	2.15901231149348	2.5597150280164	0.794171638427357	0.0144291188132524	0.400484054669704
wish	9	1	DITRANSITIVE	6.15394873075895	1.54556915319696	2.04254688827409	0.735277949373788	0.00816607079655096	0.361407491486947
promise	7	1	DITRANSITIVE	4.15404430307128	1.28623029623527	1.78912719605774	0.694635964876442	0.00607838812431714	0.335884353741497
give	461	146	DITRANSITIVE	185.208392245533	7.33283089998752	1.44548956872781	0.490351276992494	0.301849676588716	0.332863375073357
show	49	15	DITRANSITIVE	14.3999687570542	2.44798072076376	1.05478594859721	0.501990886934046	0.0327207070422102	0.233423594847775
ask	12	4	DITRANSITIVE	3.01462466954776	1.13898836482628	0.943403967282653	0.472243543539994	0.00761209111939801	0.21127562642369
offer	43	15	DITRANSITIVE	10.240100039906	2.07927876860506	0.917586795082107	0.455564802393364	0.0264576590255087	0.207540337182634
deny	8	3	DITRANSITIVE	1.62636318314662	0.841882997790251	0.822635322532423	0.427849424181541	0.0046652270034316	0.187806514893397
grant	5	2	DITRANSITIVE	0.889375084917279	0.62485905206199	0.756176168380648	0.401854215648596	0.00276220422358209	0.17434237150951
award	7	3	DITRANSITIVE	1.06616900763921	0.685409436028299	0.688051851957196	0.37270786998908	0.00362138566731469	0.160272417707151
drop	3	2	DITRANSITIVE	0.0717972974088915	0.180545275648127	0.24325410778911	0.150315448652632	0.000674521551348274	0.0595359366157329
deal	1	1	PREP_DATIVE	0.0132665377264599	-0.0781507015434085	-0.163072281905143	-0.112718957181162	-0.000184659892384318	-0.0406779661016949
charge	4	4	PREP_DATIVE	0.0532472511781596	-0.156301403086817	-0.163629423781802	-0.112718957181162	-0.000738639569537273	-0.0408163265306123
cause	8	9	PREP_DATIVE	0.337636130286601	-0.392774587595319	-0.283402742832363	-0.200181798431501	-0.00270578036757578	-0.0707223060164237
allocate	4	5	PREP_DATIVE	0.335571814876698	-0.392454661195757	-0.388008305704009	-0.282643958623474	-0.0019671407980385	-0.0966786412050167
lose	2	3	PREP_DATIVE	0.398498086128163	-0.427679493265334	-0.569954967044156	-0.434647052068524	-0.00159782101326987	-0.14102999434069
owe	6	9	PREP_DATIVE	1.20231339145783	-0.74076261169087	-0.573187865480965	-0.434647052068524	-0.00479346303980959	-0.141832669322709
get	20	32	PREP_DATIVE	5.2477028041707	-1.53010691891226	-0.651898837706648	-0.491230580434892	-0.0184352125897011	-0.160733452593918
lend	7	13	PREP_DATIVE	2.97127768484303	-1.1594713709874	-0.790692323883254	-0.62729213001092	-0.0086636266176976	-0.192808219178082
send	64	113	PREP_DATIVE	25.4397638567442	-3.23974170087813	-0.811702623491256	-0.580324507264159	-0.0720147933091566	-0.198919646494164
write	4	9	PREP_DATIVE	2.89510817204762	-1.14225844836995	-0.980751610246051	-0.813158675322254	-0.00688114571204342	-0.234661302313377
cut	2	5	PREP_DATIVE	1.87059385236206	-0.917272201773451	-1.08324972786609	-0.920073879238766	-0.00405482347027232	-0.255928773775799
assign	3	8	PREP_DATIVE	3.2654619171121	-1.20844227995071	-1.1504568509857	-0.987188075097303	-0.0066964858196591	-0.269578235506685
pay	13	34	PREP_DATIVE	13.8149778255128	-2.46185056203058	-1.15330217496472	-0.966868090717707	-0.0281991043995219	-0.271230342275671
set	2	6	PREP_DATIVE	2.80988980757044	-1.11798920263487	-1.26680814319123	-1.11271895718116	-0.00528332469877355	-0.291950113378685
leave	6	20	PREP_DATIVE	10.555494196319	-2.14884580053675	-1.38545437787015	-1.2281961746011	-0.0183069765533231	-0.314477046435809
do	10	40	PREP_DATIVE	25.1714535455922	-3.27581690636121	-1.58907698978518	-1.43464705206852	-0.03870163577888	-0.350522648083624
hand	5	21	PREP_DATIVE	13.5546843067144	-2.41557000609511	-1.61887620730852	-1.49123058043489	-0.0205793191179412	-0.353511322583487
take	12	63	PREP_DATIVE	48.7634118852674	-4.48316883583429	-1.88906499389128	-1.75657514695589	-0.0648694813621745	-0.397454331172658
keep	1	7	PREP_DATIVE	6.11760504565078	-1.5988331024089	-2.11638987223831	-2.11271895718116	-0.00755566726339169	-0.417517006802721
make	3	23	PREP_DATIVE	21.1591799115845	-2.94901841721182	-2.22529529987992	-2.2281961746011	-0.0251240042471775	-0.431579874878844
feed	1	9	PREP_DATIVE	8.77502272921731	-1.89506971547768	-2.37018569137059	-2.43464705206852	-0.0100126697203941	-0.443132803632236
read	1	10	PREP_DATIVE	10.1420882199599	-2.0285723910471	-2.47678921526797	-2.57215057581846	-0.0112411709488954	-0.452532135666718
supply	1	12	PREP_DATIVE	12.9320169775747	-2.27387341511141	-2.66160143337438	-2.81315867532225	-0.0136981734058978	-0.467136047579481
bring	7	82	PREP_DATIVE	91.2109749847789	-5.92744630829874	-2.72254264679248	-2.78109746608996	-0.0934302113842824	-0.486410703198542
sell	1	14	PREP_DATIVE	15.7793252208881	-2.49655628199079	-2.81824899340015	-3.01960955278968	-0.0161551758629003	-0.478011762473914
pass	2	29	PREP_DATIVE	33.2513489877512	-3.60531038193887	-2.87122284469552	-3.06691526756804	-0.0335388529543018	-0.484593578032647
play	1	37	PREP_DATIVE	50.4344418564849	-4.31192463157282	-3.81928095372822	-4.36064647062475	-0.0444107041184285	-0.525587324713167
